Amino acid,Abundance (# of molecules (Ã—108) per E. coli cell),ATP cost in synthesis under aerobic condition,ATP cost in synthesis under anaerobic condition
Alanine,2.9,-1,1
Cysteine,0.52,11,15
Aspartic acid,1.4,0,2
Glutamic acid,1.5,-7,-1
Phenylalanine,1.1,-6,2
Glycine,3.5,-2,2
Histidine,0.54,1,7
Isoleucine,1.7,7,11
Lysine,2.0,5,9
Leucine,2.6,-9,1
Methionine,0.88,21,23
Asparagine,1.4,3,5
Proline,1.3,-2,4
Glutamine,1.5,-6,0
Arginine,1.7,5,13
Serine,1.2,-2,2
Threonine,1.5,6,8
Tryptophan,0.33,-7,7
Tyrosine,0.79,-8,2
Valine,2.4,-2,2

